Schlüssel (Fundstelle|Stichwort)	Wortart (- = aus der Liste)	Beispielsatz (Lücke in [ ])
C|C'est parti !	Ausdruck	Tout le monde est prêt ? Alors, [c'est parti] !
C|Salut !	Ausruf	[Salut], Jules ! Tu viens au parc ?
C|Tu t'appelles comment ?	Ausdruck	– Bonjour ! [Tu t'appelles comment] ? – Je m'appelle Inès.
C|je m'appelle	Ausdruck	Bonjour, [je m'appelle] Hugo et j'habite à Lyon.
C|Et toi ?	Ausdruck	J'ai douze ans. [Et toi] ?
C|et	Konjunktion	Lina [et] Karim sont dans ma classe.
C|toi	Pronomen	Moi, j'aime le sport. Et [toi] ?
C|À plus !	Ausdruck	Je rentre maintenant. [À plus] !
C|Ça va ?	Ausdruck	Salut, Emma ! [Ça va] ?
C|bof	Ausruf	– Tu aimes le rap ? – [Bof], pas trop.
C|Ça va.	Ausdruck	– Et toi ? – Merci, [ça va].
C|super	Adjektiv	Ton poster est [super] !
C|ah	Ausruf	[Ah], c'est toi, Paul !
C|Ça sonne !	Ausdruck	Vite, on entre en classe : [ça sonne] !
C|À demain !	Ausdruck	Bonne soirée, Sophie ! [À demain] !
C|Bonjour !	Ausruf	[Bonjour], Madame Martin !
C|la classe	-	Il y a vingt élèves dans ma [classe].
C|Madame/Mme	Nomen, f.	Au revoir, [Madame] Dubois !
C|Monsieur/M.	Nomen, m.	Bonjour, [Monsieur] Petit !
C|Au revoir !	Ausruf	Il est cinq heures. [Au revoir], tout le monde !
C|Tu as quel âge ?	Ausdruck	– [Tu as quel âge] ? – J'ai treize ans.
C|j'ai … ans	Ausdruck	Ma sœur a dix ans et moi, [j'ai douze ans].
C|zéro	Zahlwort	Deux moins deux, ça fait [zéro].
C|un	Zahlwort	J'ai [un] frère et deux sœurs.
C|deux	Zahlwort	Il y a [deux] chats dans le jardin.
C|trois	Zahlwort	Nous sommes [trois] dans la famille.
C|quatre	Zahlwort	Un chien a [quatre] pattes.
C|cinq	Zahlwort	Ma petite sœur a [cinq] ans.
C|six	Zahlwort	Trois et trois, ça fait [six].
C|sept	Zahlwort	Une semaine a [sept] jours.
C|huit	Zahlwort	Le film commence à [huit] heures.
C|neuf	Zahlwort	Mon frère a [neuf] ans.
C|dix	Zahlwort	J'ai [dix] crayons dans ma trousse.
C|onze	Zahlwort	Une équipe de foot a [onze] joueurs.
C|douze	Zahlwort	Tom a [douze] ans aujourd'hui.
C|treize	Zahlwort	Ma cousine a [treize] ans.
C|quatorze	Zahlwort	Il y a [quatorze] filles dans la classe.
C|quinze	Zahlwort	Mon frère a [quinze] ans.
C|seize	Zahlwort	Huit et huit, ça fait [seize].
C|dix-sept	Zahlwort	Ma voisine a [dix-sept] ans.
C|dix-huit	Zahlwort	Dix et huit, ça fait [dix-huit].
C|dix-neuf	Zahlwort	Mon cousin a [dix-neuf] ans.
C|vingt	Zahlwort	Dix et dix, ça fait [vingt].
C|Tu habites où ?	Ausdruck	– [Tu habites où] ? – J'habite à Marseille.
C|j'habite	Ausdruck	[J'habite] à Kiel, dans le nord de l'Allemagne.
C|en	Präposition	Mes grands-parents habitent [en] France.
C|à	Präposition	Mon oncle habite [à] Berlin.
C|l'Allemagne	Nomen, f.	Hambourg est une ville en [Allemagne].
C|la France	-	Lyon est une grande ville en [France].
C|Paris	Eigenname	La Tour Eiffel est à [Paris].
C|moi	Pronomen	[Moi], j'aime les chats.
C|j'aime	Ausdruck	[J'aime] la pizza et le chocolat.
C|je n'aime pas	Ausdruck	[Je n'aime pas] les tomates.
C|mais	Konjunktion	J'aime le sport, [mais] je n'aime pas le foot.
C|les jeux vidéo	Nomen, m. pl.	Mon frère aime beaucoup les [jeux vidéo].
C|le shopping	-	Ma sœur adore le [shopping].
C|le sport	-	Le [sport], c'est ma passion.
C|la musique	-	J'écoute de la [musique] dans ma chambre.
C|la nature	-	Le week-end, j'aime être dans la [nature].
C|le chocolat	-	Mmh, j'adore le [chocolat] !
C|les spaghettis	Nomen, m. pl.	Aujourd'hui, à la cantine, il y a des [spaghettis].
C|la pizza	-	Le samedi, nous mangeons une [pizza].
C|les tomates	Nomen, f. pl.	Les [tomates] sont rouges.
C|la salade	-	Je mange une [salade] avec du pain.
C|le jaune	-	Ma couleur préférée, c'est le [jaune].
C|le rouge	-	J'aime le [rouge] et le noir.
C|le bleu	-	Le [bleu], c'est la couleur de la mer.
C|le vert	-	Le [vert], c'est la couleur de la nature.
C|le noir	-	Le [noir], c'est la couleur de mon chat.
C|les chats	Nomen, m. pl.	J'aime les chiens, mais je préfère les [chats].
C|les chiens	Nomen, m. pl.	Les [chiens] de mes voisins sont très sympas.
C|les rats	Nomen, m. pl.	Beurk, je n'aime pas les [rats] !
C|les poissons	Nomen, m. pl.	Il y a trois [poissons] dans l'aquarium.
C|les tortues	Nomen, f. pl.	Les [tortues] mangent de la salade.
C|Tu aimes… ?	Ausdruck	[Tu aimes] les jeux vidéo ?
C|oui	Adverb	– Tu aimes le chocolat ? – [Oui], beaucoup !
C|non	Adverb	– Tu as un chien ? – [Non], j'ai un chat.
C|ou	Konjunktion	Tu préfères le rouge [ou] le bleu ?
1/A|Bienvenue !	Ausruf	[Bienvenue] à Paris, Lucas !
1/A|la Tour Eiffel	Eigenname, f.	La [Tour Eiffel] est très haute.
1/A|le Louvre	Eigenname, m.	Au [Louvre], il y a beaucoup de tableaux.
1/A|la Villette	Eigenname, f.	Le parc de la [Villette] est grand.
1/A|le Sacré-Cœur	Eigenname, m.	Du [Sacré-Cœur], on a une belle vue sur Paris.
1/Voc|la ville	-	Paris est une très grande [ville].
1/Voc|le cinéma	-	Ce soir, on va au [cinéma].
1/Voc|le parc	-	Les enfants jouent dans le [parc].
1/Voc|le théâtre	-	Au [théâtre], les acteurs sont super.
1/Voc|le café	-	Mes parents boivent un [café] au bar.
1/Voc|le restaurant	-	Le dimanche, nous mangeons au [restaurant].
1/Voc|l'hôtel	Nomen, m.	Nos amis dorment à l'[hôtel].
1/Voc|le musée	-	Le [musée] est fermé le lundi.
1/Voc|le métro	-	Je vais au collège en [métro].
1/Voc|la tour	-	La [tour] est très haute.
1/Voc|le supermarché	-	Maman fait les courses au [supermarché].
1/Voc|le collège	-	Mon [collège] est près de la gare.
1/Voc|le stade	-	Le match de foot est au [stade].
1/Voc|pardon	Ausruf	Oh, [pardon], Madame !
1/Voc|Où est … ?	Ausdruck	[Où est] le cinéma, s'il vous plaît ?
1/Voc|Où… ?	Adverb	[Où] est mon stylo ?
1/Voc|c'est	Ausdruck	Regarde, [c'est] mon frère.
1/Voc|là	Adverb	Le musée ? Il est [là], à gauche.
1/Voc|merci	Ausruf	[Merci] pour le cadeau !
1/1|ce sont	Ausdruck	[Ce sont] mes amis, Léa et Noah.
1/1|C'est qui ?	Ausdruck	Sur la photo, [c'est qui] ?
1/1|moi, c'est	Ausdruck	Salut ! [Moi, c'est] Chloé.
1/1|Comment… ?	Adverb	[Comment] s'appelle ton chat ?
1/1|voilà	Ausdruck	[Voilà] mon collège !
1/1|la fille	-	La [fille] avec le vélo, c'est ma cousine.
1/1|le garçon	-	Le [garçon] là-bas s'appelle Malik.
1/1|l'ami/l'amie	Nomen, m./f.	Nora est l'[amie] de Clara.
1/1|de	Präposition	C'est le vélo [de] mon frère.
1/1|mon ami / mon amie	Ausdruck	Voilà Théo, c'est [mon ami].
1/1|il/elle s'appelle	Ausdruck	Ma sœur ? [Elle s'appelle] Manon.
1/1|le/la/l'	Begleiter	Voilà [la] maison de ma tante.
