Schlüssel (Fundstelle|Stichwort)	Wortart (- = aus der Liste)	Beispielsatz (Lücke in [ ])
1/A|le projet	-	Mon [projet] pour l'été, c'est d'apprendre à surfer.
1/A|le métier	-	Plus tard, je voudrais faire un [métier] créatif.
1/A|le domaine	-	Elle travaille dans le [domaine] de la santé.
1/A|la technologie	-	La [technologie] change très vite.
1/A|la santé	-	Dormir assez, c'est bon pour la [santé].
1/A|l'alimentation	-	Une bonne [alimentation] est importante pour les sportifs.
1/A|l'art	-	Mon cousin veut faire une école d'[art].
1/A|l'éducation	-	L'[éducation] est un droit pour tous les enfants.
1/Voc|réfléchir (à qc)	-	Je dois encore [réfléchir] à ta proposition.
1/Voc|professionnel/professionnelle	-	Il rêve d'une carrière [professionnelle] dans le football.
1/Voc|autonome	-	Dans ce métier, il faut être très [autonome].
1/Voc|être assis/assise	-	Au bureau, ma mère [est assise] toute la journée.
1/Voc|la main	-	Levez la [main] si vous avez une question.
1/Voc|s'organiser	-	Pour réussir, il faut bien [s'organiser].
1/Voc|la formation	-	Après le collège, il commence une [formation] de cuisinier.
1/Voc|l'entreprise	-	Mon père travaille dans une grande [entreprise].
1/Voc|utile	-	Ce conseil est très [utile].
1/Voc|l'horaire	-	Les [horaires] de ce travail sont un peu compliqués.
1/Voc|flexible	-	J'ai un emploi du temps [flexible].
1/Voc|s'occuper de qn/qc	-	Le samedi, je [m'occupe de] mon petit frère.
1/Voc|la responsabilité	-	Garder des enfants, c'est une grande [responsabilité].
1/Voc|dangereux/dangereuse	-	Ce métier est parfois [dangereux].
1/Voc|s'adapter (à qc)	-	Dans un nouveau pays, il faut [s'adapter] à beaucoup de choses.
1/Voc|la situation	-	La [situation] est difficile, mais pas impossible.
1/Voc|être doué/douée	-	Tu [es doué] pour les langues.
1/1|le conseiller / la conseillère d'orientation	-	La [conseillère d'orientation] m'a aidé à choisir mon stage.
1/1|n'avoir aucune idée (de qc)	-	Je [n'ai aucune idée] de ce que je veux faire plus tard.
1/1|ne… aucun/e	-	Je [n'ai aucun] problème avec ça.
1/1|plaire (à qn)	-	Ce métier me [plaît] beaucoup.
1/1|le petit boulot	-	Pendant l'été, j'ai un [petit boulot] dans un café.
1/1|garder qn/qc	-	Le mercredi, je [garde] les enfants de mes voisins.
1/1|le stage	-	En troisième, tous les élèves font un [stage] d'une semaine.
1/1|on dirait (que)	-	[On dirait qu']il va pleuvoir.
1/1|supporter qn/qc	-	Je ne [supporte] pas le bruit.
1/1|l'homme	-	L'[homme] a marché sur la Lune en 1969.
1/1|handicapé/handicapée	-	Elle travaille avec des enfants [handicapés].
1/1|le contact	-	J'aime le [contact] avec les gens.
1/1|faire du bien (à qn/qc)	-	Une promenade au soleil, ça [fait du bien].
1/1|intéresser qn	-	La médecine m'[intéresse] beaucoup.
1/1|l'avantage	-	L'[avantage] de ce travail, c'est qu'on peut voyager.
1/1|l'inconvénient	-	L'[inconvénient], c'est qu'il faut travailler le week-end.
1/1|être prêt/prête (à + inf.)	-	Je [suis prête à] travailler dur pour réussir.
1/1|l'éducateur / l'éducatrice	-	L'[éducatrice] organise des activités pour les jeunes.
1/1|l'infirmier / l'infirmière	-	L'[infirmière] s'occupe des patients la nuit.
1/1|se renseigner sur qn/qc	-	Je [me renseigne sur] les formations en informatique.
1/1|aller (à qn / avec qc)	-	Cette veste te [va] très bien.
1/1|la qualité	-	La patience est une [qualité] importante pour un prof.
1/1|envoyer qc à qn	-	J'ai [envoyé] ma lettre de motivation à l'entreprise.
1/1|le rendez-vous	-	J'ai [rendez-vous] chez le dentiste à trois heures.
1/2|forcément	-	Un bon élève n'est pas [forcément] un bon prof.
1/2|depuis que	-	[Depuis que] j'ai un chien, je sors tous les jours.
1/2|nettoyer qc	-	Après la fête, nous [nettoyons] la cuisine.
1/2|faire peur (à qn)	-	Les films d'horreur me [font peur].
1/2|au contraire	-	Je ne suis pas fatigué, [au contraire] !
1/2|poser sa candidature (pour qc)	-	J'ai [posé ma candidature] pour un stage à la radio.
1/2|physiquement	-	Ce travail est très dur [physiquement].
1/2|ne… que	-	Je [n'ai que] cinq euros.
1/2|prouver qc (à qn)	-	Elle veut [prouver] à tout le monde qu'elle peut réussir.
1/2|le robot	-	Dans cette usine, un [robot] fait le travail le plus dur.
1/2|de plus en plus	-	Il y a [de plus en plus] de voitures électriques.
1/2|programmer qc	-	Mon frère sait [programmer] des jeux vidéo.
1/2|l'informatique	-	Elle veut faire des études d'[informatique].
1/2|se spécialiser (dans qc)	-	Ce médecin [s'est spécialisé] dans les maladies du cœur.
1/2|sauver qn/qc	-	Les pompiers ont [sauvé] le chat.
1/2|rater qc	-	J'ai [raté] mon permis la première fois.
1/2|l'examen	-	Demain, j'ai un [examen] de maths.
1/2|motivé/motivée	-	Les élèves sont très [motivés] pour ce projet.
1/2|le début	-	Au [début], je ne comprenais rien.
1/2|permettre (à qn) de	-	Ce stage m'a [permis de] découvrir un métier.
1/2|la lune	-	Ce soir, la [lune] est très belle.
1/2|le nombre	-	Le [nombre] d'élèves augmente chaque année.
2/A|le mode de vie	-	Le [mode de vie] à la campagne est plus calme.
2/A|le lycée	-	L'année prochaine, j'irai au [lycée].
2/A|l'hôpital	-	Ma mère travaille à l'[hôpital].
2/A|la banlieue	-	Beaucoup de gens habitent en [banlieue] et travaillent à Paris.
2/A|la campagne	-	Mes grands-parents vivent à la [campagne].
2/A|les transports en commun	-	En ville, je prends les [transports en commun].
2/Voc|l'effet	-	Ce médicament a un [effet] rapide.
2/Voc|mettre qn en colère	-	Les mensonges me [mettent en colère].
2/Voc|déranger qn	-	Excusez-moi de vous [déranger].
2/Voc|surprendre qn	-	Sa réponse m'a [surpris].
2/Voc|être égal à qn	-	Pizza ou pâtes ? Ça m'[est égal].
